"K0A1A0","13","Carleton—Mississippi Mills"
"K0A1A0","41","Lanark—Frontenac—Lennox and Addington"
"K0A1A0","74","Renfrew—Nipissing—Pembroke"
"K0A1B0","13","Carleton—Mississippi Mills"
"K0A1B0","52","Nepean—Carleton"
"K0A1B0","41","Lanark—Frontenac—Lennox and Addington"
"K0A1E0","26","Glengarry—Prescott—Russell"
"K0A1G0","13","Carleton—Mississippi Mills"
"K0A1G0","74","Renfrew—Nipissing—Pembroke"
"K0A1K0","63","Ottawa—Orléans"
"K0A1K0","52","Nepean—Carleton"
"K0A1K0","26","Glengarry—Prescott—Russell"
"K0A1L0","13","Carleton—Mississippi Mills"
"K0A1M0","87","Stormont—Dundas—South Glengarry"
"K0A1M0","26","Glengarry—Prescott—Russell"
"K0A1N0","26","Glengarry—Prescott—Russell"
"K0A1P0","13","Carleton—Mississippi Mills"
"K0A1P0","41","Lanark—Frontenac—Lennox and Addington"
"K0A1R0","87","Stormont—Dundas—South Glengarry"
"K0A1R0","26","Glengarry—Prescott—Russell"
"K0A1T0","66","Ottawa West—Nepean"
"K0A1T0","13","Carleton—Mississippi Mills"
"K0A1V0","52","Nepean—Carleton"
"K0A1V0","26","Glengarry—Prescott—Russell"
"K0A1W0","87","Stormont—Dundas—South Glengarry"
"K0A1W0","26","Glengarry—Prescott—Russell"
"K0A1W1","26","Glengarry—Prescott—Russell"
"K0A1X0","13","Carleton—Mississippi Mills"
"K0A1X0","74","Renfrew—Nipissing—Pembroke"
"K0A2A0","26","Glengarry—Prescott—Russell"
"K0A2E0","52","Nepean—Carleton"
"K0A2G0","52","Nepean—Carleton"
"K0A2G0","26","Glengarry—Prescott—Russell"
"K0A2H0","13","Carleton—Mississippi Mills"
"K0A2M0","26","Glengarry—Prescott—Russell"
"K0A2P0","52","Nepean—Carleton"
"K0A2P0","26","Glengarry—Prescott—Russell"
"K0A2R0","87","Stormont—Dundas—South Glengarry"
"K0A2R0","52","Nepean—Carleton"
"K0A2R0","26","Glengarry—Prescott—Russell"
"K0A2T0","52","Nepean—Carleton"
"K0A2W0","87","Stormont—Dundas—South Glengarry"
"K0A2W0","52","Nepean—Carleton"
"K0A2W0","42","Leeds—Grenville"
"K0A2X0","13","Carleton—Mississippi Mills"
"K0A2X0","74","Renfrew—Nipissing—Pembroke"
"K0A2Y0","64","Ottawa South"
"K0A2Y0","63","Ottawa—Orléans"
"K0A2Y0","52","Nepean—Carleton"
"K0A2Z0","13","Carleton—Mississippi Mills"
"K0A2Z0","52","Nepean—Carleton"
"K0A3C0","87","Stormont—Dundas—South Glengarry"
"K0A3C0","26","Glengarry—Prescott—Russell"
"K0A3E0","26","Glengarry—Prescott—Russell"
"K0A3H0","63","Ottawa—Orléans"
"K0A3H0","52","Nepean—Carleton"
"K0A3H0","26","Glengarry—Prescott—Russell"
"K0A3J0","87","Stormont—Dundas—South Glengarry"
"K0A3J0","52","Nepean—Carleton"
"K0A3K0","26","Glengarry—Prescott—Russell"
"K0A3L0","13","Carleton—Mississippi Mills"
"K0A3L0","41","Lanark—Frontenac—Lennox and Addington"
"K0A3L0","74","Renfrew—Nipissing—Pembroke"
"K0A3M0","13","Carleton—Mississippi Mills"
"K0A3N0","26","Glengarry—Prescott—Russell"
"K0A3P0","13","Carleton—Mississippi Mills"
"K0A3P0","52","Nepean—Carleton"
"K0A3P0","41","Lanark—Frontenac—Lennox and Addington"
"K0A4A0","64","Ottawa South"
"K0B1A0","26","Glengarry—Prescott—Russell"
"K0B1B0","26","Glengarry—Prescott—Russell"
"K0B1C0","26","Glengarry—Prescott—Russell"
"K0B1E0","26","Glengarry—Prescott—Russell"
"K0B1G0","26","Glengarry—Prescott—Russell"
"K0B1H0","87","Stormont—Dundas—South Glengarry"
"K0B1H0","26","Glengarry—Prescott—Russell"
"K0B1J0","26","Glengarry—Prescott—Russell"
"K0B1K0","26","Glengarry—Prescott—Russell"
"K0B1L0","26","Glengarry—Prescott—Russell"
"K0B1M0","26","Glengarry—Prescott—Russell"
"K0B1N0","26","Glengarry—Prescott—Russell"
"K0B1P0","26","Glengarry—Prescott—Russell"
"K0B1R0","26","Glengarry—Prescott—Russell"
"K0C1A0","87","Stormont—Dundas—South Glengarry"
"K0C1A0","26","Glengarry—Prescott—Russell"
"K0C1B0","87","Stormont—Dundas—South Glengarry"
"K0C1B0","26","Glengarry—Prescott—Russell"
"K0C1C0","87","Stormont—Dundas—South Glengarry"
"K0C1E0","87","Stormont—Dundas—South Glengarry"
"K0C1G0","87","Stormont—Dundas—South Glengarry"
"K0C1H0","87","Stormont—Dundas—South Glengarry"
"K0C1J0","26","Glengarry—Prescott—Russell"
"K0C1K0","87","Stormont—Dundas—South Glengarry"
"K0C1L0","87","Stormont—Dundas—South Glengarry"
"K0C1L0","26","Glengarry—Prescott—Russell"
"K0C1M0","87","Stormont—Dundas—South Glengarry"
"K0C1N0","87","Stormont—Dundas—South Glengarry"
"K0C1P0","87","Stormont—Dundas—South Glengarry"
"K0C1R0","87","Stormont—Dundas—South Glengarry"
"K0C1S0","87","Stormont—Dundas—South Glengarry"
"K0C1T0","87","Stormont—Dundas—South Glengarry"
"K0C1T0","26","Glengarry—Prescott—Russell"
"K0C1T1","26","Glengarry—Prescott—Russell"
"K0C1V0","87","Stormont—Dundas—South Glengarry"
"K0C1W0","87","Stormont—Dundas—South Glengarry"
"K0C1W0","26","Glengarry—Prescott—Russell"
"K0C1X0","87","Stormont—Dundas—South Glengarry"
"K0C1Y0","87","Stormont—Dundas—South Glengarry"
"K0C1Z0","87","Stormont—Dundas—South Glengarry"
"K0C1Z0","26","Glengarry—Prescott—Russell"
"K0C2A0","87","Stormont—Dundas—South Glengarry"
"K0C2B0","87","Stormont—Dundas—South Glengarry"
"K0C2B0","26","Glengarry—Prescott—Russell"
"K0C2C0","87","Stormont—Dundas—South Glengarry"
"K0C2E0","87","Stormont—Dundas—South Glengarry"
"K0C2G0","87","Stormont—Dundas—South Glengarry"
"K0C2H0","87","Stormont—Dundas—South Glengarry"
"K0C2J0","87","Stormont—Dundas—South Glengarry"
"K0C2K0","87","Stormont—Dundas—South Glengarry"
"K0C2K0","52","Nepean—Carleton"
"K0C2L0","87","Stormont—Dundas—South Glengarry"
"K0E1A0","42","Leeds—Grenville"
"K0E1B0","42","Leeds—Grenville"
"K0E1C0","87","Stormont—Dundas—South Glengarry"
"K0E1C0","42","Leeds—Grenville"
"K0E1E0","87","Stormont—Dundas—South Glengarry"
"K0E1E0","42","Leeds—Grenville"
"K0E1G0","42","Leeds—Grenville"
"K0E1H0","42","Leeds—Grenville"
"K0E1J0","87","Stormont—Dundas—South Glengarry"
"K0E1K0","87","Stormont—Dundas—South Glengarry"
"K0E1K0","42","Leeds—Grenville"
