"K0A1B0","21","Rideau-Goulbourn","Ottawa ward"
"K0A1K0","19","Cumberland","Ottawa ward"
"K0A1L0","5","West Carleton-March","Ottawa ward"
"K0A1T0","5","West Carleton-March","Ottawa ward"
"K0A1V0","19","Cumberland","Ottawa ward"
"K0A1X0","5","West Carleton-March","Ottawa ward"
"K0A2E0","21","Rideau-Goulbourn","Ottawa ward"
"K0A2G0","5","West Carleton-March","Ottawa ward"
"K0A2H0","5","West Carleton-March","Ottawa ward"
"K0A2P0","20","Osgoode","Ottawa ward"
"K0A2T0","21","Rideau-Goulbourn","Ottawa ward"
"K0A2W0","20","Osgoode","Ottawa ward"
"K0A2Y0","10","Gloucester-Southgate","Ottawa ward"
"K0A2Z0","21","Rideau-Goulbourn","Ottawa ward"
"K0A3E0","19","Cumberland","Ottawa ward"
"K0A3H0","19","Cumberland","Ottawa ward"
"K0A3J0","20","Osgoode","Ottawa ward"
"K0A3M0","5","West Carleton-March","Ottawa ward"
"K0A3P0","21","Rideau-Goulbourn","Ottawa ward"
"K0A4A0","10","Gloucester-Southgate","Ottawa ward"
"K0G1B0","21","Rideau-Goulbourn","Ottawa ward"
"K0H1M0","1","Countryside","Kingston ward"
"K0H1S0","1","Countryside","Kingston ward"
"K0H1Y0","1","Countryside","Kingston ward"
"K0H2R0","9","Williamsville","Kingston ward"
"K0K0A0","2","Ward 2","Belleville ward"
"K0K1K0","1","Ward 1","Belleville ward"
"K0K1V0","2","Ward 2","Belleville ward"
"K0K2B0","2","Ward 2","Belleville ward"
"K0K2V0","2","Ward 2","Belleville ward"
"K0K2Y0","2","Ward 2","Belleville ward"
"K0L2W0","15","Ward 15","Kawartha Lakes ward"
"K0L2X0","14","Ward 14","Kawartha Lakes ward"
"K0L3B0","5","West Carleton-March","Ottawa ward"
"K0M1A0","7","Ward 7","Kawartha Lakes ward"
"K0M1B0","4","Ward 4","Kawartha Lakes ward"
"K0M1C0","3","Ward 3","Kawartha Lakes ward"
"K0M1E0","5","Ward 5","Kawartha Lakes ward"
"K0M1G0","5","Ward 5","Kawartha Lakes ward"
"K0M1J1","3","Ward 3","Kawartha Lakes ward"
"K0M1J2","3","Ward 3","Kawartha Lakes ward"
"K0M1K0","3","Ward 3","Kawartha Lakes ward"
"K0M1L0","13","Ward 13","Kawartha Lakes ward"
"K0M1N0","6","Ward 6","Kawartha Lakes ward"
"K0M2A0","3","Ward 3","Kawartha Lakes ward"
"K0M2A1","3","Ward 3","Kawartha Lakes ward"
"K0M2B0","4","Ward 4","Kawartha Lakes ward"
"K0M2C0","8","Ward 8","Kawartha Lakes ward"
"K0M2L0","2","Ward 2","Kawartha Lakes ward"
"K0M2L1","3","Ward 3","Kawartha Lakes ward"
"K0M2M0","4","Ward 4","Kawartha Lakes ward"
"K0M2T0","4","Ward 4","Kawartha Lakes ward"
"K1A0A1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0A2","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0A3","14","Somerset","Ottawa ward"
"K1A0A4","14","Somerset","Ottawa ward"
"K1A0A5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0A6","14","Somerset","Ottawa ward"
"K1A0A8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0A9","14","Somerset","Ottawa ward"
"K1A0B1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0B2","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0B4","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0B9","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0C1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0C5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0C6","16","River","Ottawa ward"
"K1A0C7","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0C8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0E4","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0E6","14","Somerset","Ottawa ward"
"K1A0E7","12","Rideau-Vanier","Ottawa ward"
"K1A0E8","14","Somerset","Ottawa ward"
"K1A0E9","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0G1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0G2","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0G3","14","Somerset","Ottawa ward"
"K1A0G5","14","Somerset","Ottawa ward"
"K1A0G6","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0G7","14","Somerset","Ottawa ward"
"K1A0G8","12","Rideau-Vanier","Ottawa ward"
"K1A0G9","14","Somerset","Ottawa ward"
"K1A0H2","14","Somerset","Ottawa ward"
"K1A0H4","14","Somerset","Ottawa ward"
"K1A0H5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0H7","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0H8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0H9","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0J1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0J6","14","Somerset","Ottawa ward"
"K1A0K1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0K2","12","Rideau-Vanier","Ottawa ward"
"K1A0K4","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0K5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0K6","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0K7","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0L1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0L2","15","Kitchissippi","Ottawa ward"
"K1A0L3","15","Kitchissippi","Ottawa ward"
"K1A0L4","12","Rideau-Vanier","Ottawa ward"
"K1A0L5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0L8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0L9","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0M1","14","Somerset","Ottawa ward"
"K1A0M2","16","River","Ottawa ward"
"K1A0M3","14","Somerset","Ottawa ward"
"K1A0M6","14","Somerset","Ottawa ward"
"K1A0M7","14","Somerset","Ottawa ward"
"K1A0N4","14","Somerset","Ottawa ward"
"K1A0N5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0N7","14","Somerset","Ottawa ward"
"K1A0N8","14","Somerset","Ottawa ward"
"K1A0P4","14","Somerset","Ottawa ward"
"K1A0P5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0P7","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0P8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0P9","14","Somerset","Ottawa ward"
"K1A0R1","14","Somerset","Ottawa ward"
"K1A0R2","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0R3","14","Somerset","Ottawa ward"
"K1A0R4","12","Rideau-Vanier","Ottawa ward"
"K1A0R5","14","Somerset","Ottawa ward"
"K1A0R6","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0R7","14","Somerset","Ottawa ward"
"K1A0S2","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0S4","14","Somerset","Ottawa ward"
"K1A0S5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0S6","14","Somerset","Ottawa ward"
"K1A0T1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0T2","15","Kitchissippi","Ottawa ward"
"K1A0T4","15","Kitchissippi","Ottawa ward"
"K1A0T6","15","Kitchissippi","Ottawa ward"
"K1A0T7","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0T8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0W6","14","Somerset","Ottawa ward"
"K1A0W8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0W9","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0X1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0X6","14","Somerset","Ottawa ward"
"K1A0X8","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0Y3","14","Somerset","Ottawa ward"
"K1A0Y6","17","Capital","Ottawa ward"
"K1A0Y7","13","Rideau-Rockcliffe","Ottawa ward"
"K1A0Y8","17","Capital","Ottawa ward"
"K1A0Y9","9","Knoxdale-Merivale","Ottawa ward"
"K1A0Z2","16","River","Ottawa ward"
"K1A0Z4","12","Rideau-Vanier","Ottawa ward"
"K1A1A1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1A2","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1A3","17","Capital","Ottawa ward"
"K1A1A8","10","Gloucester-Southgate","Ottawa ward"
"K1A1A9","17","Capital","Ottawa ward"
"K1A1B1","17","Capital","Ottawa ward"
"K1A1B4","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1B5","15","Kitchissippi","Ottawa ward"
"K1A1B6","12","Rideau-Vanier","Ottawa ward"
"K1A1B7","15","Kitchissippi","Ottawa ward"
"K1A1B8","12","Rideau-Vanier","Ottawa ward"
"K1A1B9","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1C1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1C9","14","Somerset","Ottawa ward"
"K1A1E1","14","Somerset","Ottawa ward"
"K1A1E3","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1E4","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1G1","14","Somerset","Ottawa ward"
"K1A1G4","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1G5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1G6","14","Somerset","Ottawa ward"
"K1A1G7","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1G9","17","Capital","Ottawa ward"
"K1A1H3","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1H5","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1J2","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1J3","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1J4","14","Somerset","Ottawa ward"
"K1A1J5","12","Rideau-Vanier","Ottawa ward"
"K1A1J6","12","Rideau-Vanier","Ottawa ward"
"K1A1J7","12","Rideau-Vanier","Ottawa ward"
"K1A1J8","12","Rideau-Vanier","Ottawa ward"
"K1A1J9","12","Rideau-Vanier","Ottawa ward"
"K1A1K1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1K2","14","Somerset","Ottawa ward"
"K1A1K3","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1K5","14","Somerset","Ottawa ward"
"K1A1K6","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1K8","14","Somerset","Ottawa ward"
"K1A1K9","12","Rideau-Vanier","Ottawa ward"
"K1A1L1","13","Rideau-Rockcliffe","Ottawa ward"
"K1A1L5","16","River","Ottawa ward"
"K1A1L6","16","River","Ottawa ward"
"K1A1L7","16","River","Ottawa ward"
"K1A1L8","10","Gloucester-Southgate","Ottawa ward"
"K1A1L9","16","River","Ottawa ward"
"K1A1M1","14","Somerset","Ottawa ward"
"K1A1M2","13","Rideau-Rockcliffe","Ottawa ward"
